id,title,description,image,year,category,country,rating,genre,duration,videoUrl,downloadUrl,views,totalLikes,comingSoon,createdAt,updatedAt,tmdbId,backdropImage,logoImage,trailerUrl,trailerKey,cast,director,tagline,budget,revenue,status,originalTitle,originalLang,popularity,voteCount,adult
1,Heads of State,"The UK Prime Minister and US President have a public rivalry that risks their countries' alliance. But when they become targets of a powerful enemy, they're forced to rely on each other as they go on a wild, multinational run. Allied with Noel, a brilliant MI6 agent, they must find a way to thwart a conspiracy that threatens the free world.",https://image.tmdb.org/t/p/original/lVgE5oLzf7ABmzyASEVcjYyHI41.jpg,2025,FOREIGN,United States of America,7.7,"[""أكشن"",""تشويق"",""كوميديا""]",PT1H53M,"https://m.reviewrate.net/embed-zuvhg3bp6fqc.html , https://m.reviewrate.net/embed-wk1scexop67c.html , https://vidsrc.xyz/embed/movie?tmdb=749170&ds_lang=ar",https://vipserver.liiivideo.com/d/4r89mcd64e4f.html,707,0,false,2025-12-04 03:30:01.176,2025-09-21 14:10:14.87,749170,https://image.tmdb.org/t/p/original/vJbEUMeI2AxBUZKjP6ZVeVNNTLh.jpg,https://image.tmdb.org/t/p/w500/zCBmJBuluHBeb5Vnw3VMYQInOSa.png,https://www.youtube.com/watch?v=zIAXa5LJ0Yo,zIAXa5LJ0Yo,"[""جون سينا"",""إدريس إلبا"",""Priyanka Chopra Jonas"",""بادي كونسيدين"",""Carla Gugino"",""Stephen Root"",""جاك كوايد"",""سارة نايلز"",""Richard Coyle"",""Александр Кузнецов""]",Илья Найшуллер,,100,,Released,Heads of State,en,22.8601,859,false
2,الإسكندراني,تدور الأحداث في قلب محافظة (الإسكندرية)، حيث يمر (بكر الإسكندراني) بالعديد من الصراعات مع والده وابن عمه وحبيبته؛ فيقرر السفر إلى الخارج بحثًا عن حياة جديدة...,https://media0078.elcinema.com/uploads/_640x_b1e4bcf11df72e44db53855b854b9be39a7234575fae655c94bdaccc7b624fb8.jpg,2025,ARAB,مصر,5.4,"[""دراما""]",108,https://vkvideo.ru/video_ext.php?oid=-221539815&id=456239131&hd=2&autoplay=1,https://isabellaentire.com/b1phw8byef?key=8bebcec74c70391655b0c593da19ea71,155,0,false,2025-12-04 03:30:01.176,2025-09-21 14:11:14.87,1217407,https://image.tmdb.org/t/p/original/8DdGQdPPLioFVfxCf98vcyHsXbC.jpg,https://image.tmdb.org/t/p/w500/1JSXNTMuB6b2rREfx7moDm0GyJR.png,https://www.youtube.com/watch?v=uhNIEEtgrys,uhNIEEtgrys,"[""بيومي فؤاد"",""أحمد العوضي"",""زينة"",""حسين فهمي"",""صلاح عبدالله"",""محمود حافظ"",""عصام السقا"",""محمد رضوان"",""رحاب الجمل"",""محمد صلاح آدم""]",خالد يوسف,,,,Released,الإسكندراني,ar,1.5267,6,false
3,الحريفة,تُجبر الظروف (ماجد) على ترك حياة الرخاء والانتقال من مدرسته الخاصة إلى مدرسة حكومية، فيكتسب بمرور الوقت احترام زملائه بسبب مهارته الكبيرة في كرة القدم...,https://media0078.elcinema.com/uploads/_640x_af58f42120e7abb35da00f97f9f1569da9526d275e663fd38988c0c09cfa6bf8.jpg,2025,ARAB,مصر,7.8,"[""دراما"",""Sports""]",124,https://fdewsdc.sbs/embed/2w52bfrjrjyk,https://isabellaentire.com/b1phw8byef?key=8bebcec74c70391655b0c593da19ea71,978,0,false,2025-12-04 03:30:01.176,2025-09-21 14:12:14.87,1197989,https://image.tmdb.org/t/p/original/eoTaSkidOE0Vc9BYU4CiJoCAXA4.jpg,https://image.tmdb.org/t/p/w500/ojkuqR37bcSGBpUjB49eYk4gQei.png,,,"[""نور النبوي"",""أحمد غزي"",""نور إيهاب"",""أحمد بحر"",""عبدالرحمن محمد"",""Khaled El Zahaby"",""سليم هاني"",""شريف دسوقي"",""Ahmed Hossam Mido"",""بيومي فؤاد""]",رؤوف السيد,,250000,153811,Released,الحريفة,ar,1.2138,11,false
4,عصابة عظيمة,يدور العمل في إطار كوميدي حول شخصية عظيمة هي امرأة ذكية في أواخر الخمسينيات من عمرها فقدت بصرها نتيجة حادث ولكنها تتغلب على ذلك بقوة البصيرة...,https://media0078.elcinema.com/uploads/_640x_c659a178243e05da6e882908f5cac43d64df2dca17760cf0f13154cecc39f6b5.jpg,2025,ARAB,مصر,4.8,"[""كوميديا""]",120,https://fdewsdc.sbs/embed/gfsie6iqnyj2,https://isabellaentire.com/b1phw8byef?key=8bebcec74c70391655b0c593da19ea71,67,0,false,2025-12-04 03:30:01.176,2025-09-21 14:13:14.87,1214832,https://image.tmdb.org/t/p/original/mMF2g7Jt70Fspix4EnSiHVbagFc.jpg,https://image.tmdb.org/t/p/w500/fqg5UQv3ARZJJUrdzExkh3xTIcl.png,https://www.youtube.com/watch?v=76XZybzJQ14,76XZybzJQ14,"[""إسعاد يونس"",""رنا رئيس"",""محمد محمود"",""كريم عفيفي"",""فرح الزاهد"",""مصطفى عنبة"",""لوسيندا سليمان"",""أحمد عزمي"",""إبراهيم السمان"",""عارفة عبدالرسول""]",وائل إحسان,,,,Released,عصابة عظيمة,ar,1.0669,,false
6,الفيل الأزرق,فيلم الفيل الأزرق 2014 HD اون لاين,https://media0078.elcinema.com/uploads/_640x_af66a2bc372508ec81f5101518c3c0f1352ab7d1b2af1152a41dd305a5ca1402.jpg,2014,ARAB,مصر,8.8,"[""دراما"",""غموض""]",85,https://shah4u.net/photos/shares/elcinema/2019662.jpg,https://isabellaentire.com/b1phw8byef?key=8bebcec74c70391655b0c593da19ea71,129,0,false,2025-12-04 03:30:01.176,2025-09-21 14:15:14.87,289510,https://image.tmdb.org/t/p/original/eGPSl6OL0c1oTBpHQxtbPhO2mPC.jpg,https://image.tmdb.org/t/p/w500/1PTN14QZDUVsKidnXSEDnhg0tX.png,https://www.youtube.com/watch?v=I5Bat3GPqGc,I5Bat3GPqGc,"[""كريم عبدالعزيز"",""خالد الصاوي"",""نيللى كريم"",""لبلبة"",""شيرين رضا"",""دارين حداد"",""محمد ممدوح"",""محمد شاهين"",""جميل برسوم"",""ياسر علي ماهر""]",مروان حامد,,3500000,,Released,الفيل الأزرق,ar,1.858,97,false
7,الجزيرة,فيلم الجزيرة 2007 HD اون لاين,https://media0078.elcinema.com/uploads/_640x_154d70be1a7d2b699117cb03f91c9db870c61452bd61e69020485e2a63e18274.jpg,2007,ARAB,مصر,8.7,"[""أكشن"",""دراما""]",105,,https://isabellaentire.com/b1phw8byef?key=8bebcec74c70391655b0c593da19ea71,80,0,false,2025-12-04 03:30:01.176,2025-09-21 14:16:14.87,58476,https://image.tmdb.org/t/p/original/ljKQrvh1zs7azD4FkF0KUofkBfL.jpg,https://image.tmdb.org/t/p/w500/6gS0RGf69Q9CksBRdSqW8noPsXK.png,,,"[""أحمد السقا"",""محمود ياسين"",""هند صبري"",""خالد الصاوي"",""محمود عبدالمغني"",""زينة"",""باسم سمرة"",""آسر ياسين"",""نضال الشافعي"",""أشرف مصيلحي""]",شريف عرفة,الجزيرة,,,Released,الجزيرة,ar,1.2224,39,false
8,The Last Cabin,"Trapped in a remote cabin, a film crew finds themselves stalked by three masked men who know the isolated forest and their every move.",https://image.tmdb.org/t/p/original/845wyTrzPL8gXx1hHbtH2a5YVPq.jpg,2025,FOREIGN,United States of America,2.75,"[""رعب"",""تشويق""]",PT1H20M,,,114,0,false,2025-12-04 03:30:01.176,2025-09-21 14:17:14.87,1452289,https://image.tmdb.org/t/p/original/7WF4UUpbp25jKQgQrRbnigH8fOg.jpg,,,,"[""Isabella Bobadilla"",""Brendan Goshay"",""Tanner Kongdara"",""Benjamin L Newmark"",""Austin J. Rhodes"",""Kyree Cook"",""Cashmere Moniqué"",""John Fantasia"",""Tagen Crossley"",""Dylan DeVane""]",Brendan Rudnicki,,,,Released,The Last Cabin,en,0.986,10,false
9,فيلم ثقافي,فيلم فيلم ثقافي 2000,https://media0078.elcinema.com/uploads/_640x_d0178c4fd7fc8d87d9fc8c9ae6a834eaff77b9c4259cb4422617099c9a82a0e4.jpg,2000,ARAB,مصر,8.3,"[""كوميديا"",""دراما""]",125,,https://isabellaentire.com/b1phw8byef?key=8bebcec74c70391655b0c593da19ea71,100,0,false,2025-12-04 03:30:01.176,2025-09-21 14:18:14.87,193457,https://image.tmdb.org/t/p/original/mm9IWTUAN7euXzIf3V1NUSwRAoJ.jpg,https://image.tmdb.org/t/p/w500/2LJsDVpIO7Dn2hEscmiWwbwDXbe.png,,,"[""أحمد رزق"",""فتحي عبدالوهاب"",""أحمد عيد"",""طارق عبدالعزيز"",""أحمد عزمي"",""أحمد عقل"",""رجاء الجداوي"",""محمد شرف"",""يسرا"",""سامي العدل""]",Mohamed Amin,,,,Released,فيلم ثقافى,ar,1.3646,32,false
10,الناظر,فيلم الناظر 2000,https://media0078.elcinema.com/uploads/_640x_365cce639d9c2c244a2350a59c0e205c0999a11ee1676c926cd0bfb0db86d1af.jpg,2000,ARAB,مصر,8.2,"[""كوميديا""]",92,,https://isabellaentire.com/b1phw8byef?key=8bebcec74c70391655b0c593da19ea71,106,0,false,2025-12-04 03:30:01.176,2025-09-21 14:19:14.87,415488,https://image.tmdb.org/t/p/original/x3Os9Hap9uEOiicb1rJ7o01cGBs.jpg,https://image.tmdb.org/t/p/w500/9zbksFJurFocFaUMD154gdq0mHV.png,https://www.youtube.com/watch?v=pL7nHCQFUV8,pL7nHCQFUV8,"[""علاء ولي الدين"",""هشام سليم"",""حسن حسني"",""أحمد حلمي"",""محمد سعد"",""بسمة"",""سامي سرحان"",""سليمان عيد"",""Hanan ElTaweil"",""يوسف عيد""]",شريف عرفة,الناظر,,,Released,الناظر,ar,2.2791,37,false
11,كيرة والجن,فيلم كيرة والجن 2022 اون لاين,https://img.youm7.com/ArticleImgs/2022/6/15/72636-925ee057-eeda-4c5c-9851-a10533c09ace.jfif,2022,ARAB,مصر,8.1,"[""أكشن"",""دراما""]",93,"https://m.reviewrate.net/embed-ytm9ns675r71.html , https://m.reviewrate.net/embed-el7f99num7l1.html ",https://vipserver.liiivideo.com/d/uj10tvalt5zo,312,0,false,2025-12-04 03:30:01.176,2025-09-21 14:20:14.87,632702,https://image.tmdb.org/t/p/original/cRpL55GNHliGYpPEmHEasT7FjMu.jpg,https://image.tmdb.org/t/p/w500/2lfuJ4ifLTUJzqft81zTn2IpNBU.png,https://www.youtube.com/watch?v=KgyMVknHz-4,KgyMVknHz-4,"[""كريم عبدالعزيز"",""أحمد عز"",""هند صبري"",""أحمد مالك"",""سيد رجب"",""Sam Hazeldine"",""رزان جمال"",""هدى المفتي"",""محمد عبدالعظيم"",""روبي""]",مروان حامد,,,,Released,كيرة  والجن,ar,1.5558,27,false
12,الجزيرة 2,فيلم الجزيرة 2 2014 HD اون لاين,https://media0078.elcinema.com/uploads/_640x_a1c51c3656e80a902cf70f7bd04a1553c20fe74a5e38a3ee25532c807a2ad03d.jpg,2014,ARAB,مصر,8.1,"[""أكشن"",""دراما""]",123,,https://isabellaentire.com/b1phw8byef?key=8bebcec74c70391655b0c593da19ea71,52,0,false,2025-12-04 03:30:01.176,2025-09-21 14:21:14.87,72545,https://image.tmdb.org/t/p/original/fZvAroq9Vb5hhyKT6TxsjxJW7nm.jpg,https://image.tmdb.org/t/p/w500/c026b1pUfZUq5aRD8hh5JNAvxXg.png,,,"[""دوين جونسون"",""جوش هوتشرسن"",""فانيسا هادجنز"",""Luis Guzmán"",""مايكل كين"",""Kristin Davis"",""Anna Colwell"",""Stephen Caudill"",""Branscombe Richmond"",""Walter Bankson""]",براد بايتون,,79000000,355692760,Released,Journey 2: The Mysterious Island,en,8.4649,4410,false
13,صعيدي في الجامعة الأمريكية,فيلم صعيدي في الجامعة الأمريكية 1998,https://media0078.elcinema.com/uploads/_640x_9b355afe70ab4d1536084c86fee05fabaa19b12249ce288e52a60acc428c6912.jpg,1998,ARAB,مصر,8.1,"[""كوميديا""]",86,,https://isabellaentire.com/b1phw8byef?key=8bebcec74c70391655b0c593da19ea71,176,0,false,2025-12-04 03:30:01.176,2025-09-21 14:22:14.87,183387,https://image.tmdb.org/t/p/original/jV5KHMHVrMRJOht4WOvQkiwIhf0.jpg,https://image.tmdb.org/t/p/w500/3BEITBiQI9dl5Do3okifGyuMk8P.png,,,"[""محمد هنيدي"",""طارق لطفي"",""أحمد السقا"",""منى زكي"",""غادة عادل"",""هاني رمزي"",""فتحي عبدالوهاب"",""Amira Fathy"",""Seham Galal"",""محمد يوسف""]",سعيد حامد,,,,Released,صعيدى فى الجامعة الأمريكية,ar,1.2955,34,false
14,مافيا,فيلم مافيا 2002,https://media0078.elcinema.com/uploads/_640x_a5415fdafeaa70bd4cd0843f9f1805db75df94635329e72ca52170389fa757a1.jpg,2002,ARAB,مصر,8.1,"[""أكشن""]",149,,https://isabellaentire.com/b1phw8byef?key=8bebcec74c70391655b0c593da19ea71,124,0,false,2025-12-04 03:30:01.176,2025-09-21 14:23:14.87,452160,https://image.tmdb.org/t/p/original/y5GmfcmFLbSmxzOeEYvmd8LNIw5.jpg,,,,"[""أحمد السقا"",""مصطفى شعبان"",""منى زكي"",""أحمد رزق"",""عباس أبو الحسن"",""توفيق عبدالحميد"",""خليل مرسي"",""سعيد طرابيك"",""جمال إسماعيل"",""حسين فهمي""]",شريف عرفة,مافيا,,,Released,مافيا,ar,1.081,18,false
15,تصبح على خير,فيلم تصبح على خير 2017 HD اون لاين,https://media0078.elcinema.com/uploads/_640x_2847be120f89e74fb10b6beb7c75cb6f8a56cca452639cc0d6c7d35f07d242d1.jpg,2017,ARAB,مصر,8,"[""كوميديا"",""رومانسي""]",138,,https://isabellaentire.com/b1phw8byef?key=8bebcec74c70391655b0c593da19ea71,55,0,false,2025-12-04 03:30:01.176,2025-09-21 14:24:14.87,466701,https://image.tmdb.org/t/p/original/zPSTm9wk3jpM4qH0yLYPjvTzh9P.jpg,,https://www.youtube.com/watch?v=OyZkmUtxtZU,OyZkmUtxtZU,"[""تامر حسني"",""درة"",""نور اللبنانية"",""مي عمر"",""محمود البزاوي"",""بدرية طلبة""]",محمد سامي,Good Night,,,Released,تصبح على خير,ar,0.7516,32,false
17,من أجل زيكو,فيلم من أجل زيكو 2022 اون لاين,https://media0078.elcinema.com/uploads/_640x_c15b523466fd84afac64d81a527f95736a218b2075b6e7e4d71a924ae609371d.jpg,2022,ARAB,مصر,8,"[""كوميديا"",""دراما""]",106,,https://isabellaentire.com/b1phw8byef?key=8bebcec74c70391655b0c593da19ea71,62,0,false,2025-12-04 03:30:01.176,2025-09-21 14:26:14.87,911622,https://image.tmdb.org/t/p/original/gWkw4bAbqKBeocnDOLu53TIQOvP.jpg,https://image.tmdb.org/t/p/w500/emxzmzYxTwrxNUqKYefpS51qwU3.png,,,"[""كريم محمود عبدالعزيز"",""منة شلبي"",""محمود حافظ"",""محمد محمود"",""Youssef Salah"",""عمرو عبدالجليل"",""دياب"",""محمد ثروت"",""سليمان عيد"",""ليلى عز العرب""]",بيتر ميمي,,,,Released,من أجل زيكو,ar,1.1551,24,false
